553|Интеллект будущего.Отв. ред.Смолин С.П.|2008-11-01|95|500|500|300|250|880|20000|1400|160|2.8|0|20|1|0.8|2|3|70|5|3|20|20|0|20|5|0|10|5|8|5|3|5|0|5|1491.84|1882.7|0|0|0|0|0|26.2|390.86|0|9|16.65|1165.22|4693.79|67.05|30|3|1219.17|40|0|0|2871.47|3047.91|279.3|88.2|1512|74|110|500|326|5000|10|4|80|4267.09
554|Тайны текста. Отв. ред. Смолин С.П.|2008-11-01|95|500|500|380|250|880|20000|1400|160|2.8|0|1|1|0.8|2|0.7|70|3|3|20|20|0|20|5|0|10|10|10|5|3|5|0|5|77.5|98.43|0|0|0|0|0|27|20.93|0|9|3.52|246.27|482.58|6.89|30|1|137.88|40|0|0|860.2|344.69|0|0|371|72|110|500|0|5000|0|4|4|482.58
555|Регионализация профильного образования в условиях гимназии. Отв.ред.Смолин С.П.|2008-11-01|95|500|500|380|250|880|20000|1400|160|4|0|23|1|0.8|2|0.7|100|5|3|20|20|0|20|5|0|10|5|8|3|3|10|0|5|1745.7|2217.04|0|0|0|\N|0|27|471.34|0|9|13.54|1354.04|4642.4|51.02|30|5|1071.32|40|0|0|3571.08|0|0|0|0|\N|110|500|0|5000|0|4|1|0
556|Внутригимназическая система повышения профессиональной компетентности педагогов.Тюпышева О.В.|2008-11-13|95|500|500|350|250|880|20000|1400|160|2.8|0|11|1|0.8|2|0.7|70|0|3|20|15|0|20|0|0|5|5|5|5|3|5|0|5|660.66|839.04|0|0|0|\N|0|27|178.38|0|9|8.22|575.52|1838.93|30.15|30|2|424.37|40|0|0|1414.56|0|0|0|0|\N|110|500|0|5000|0|4|1|0
557|Раз урок,два урок... Перова Т.Ю.|2008-11-13|95|500|500|650|250|880|20000|1400|160|48|0|60|1|0.8|2|0.7|150|0|0|10|10|0|10|0|0|5|5|5|5|3|5|5|5|508.57|645.88|1300|0|0|\N|0|27|137.31|3|37|9.2|1380.7|4657.21|31.05|20|5|1330.63|40|1300|1646.67|9643.12|3326.57|0|0|0|\N|110|500|0|5000|0|4|1|0
558|Дифференциальная диагностика нарушений развития. Попова О.А.|2008-11-13|95|500|500|320|250|880|20000|1400|160|6|0|23|1|0.8|2|0.7|150|0|0|15|15|0|15|0|0|5|5|5|5|3|5|0|5|1134.71|1441.08|1400|0|0|\N|0|27|306.37|3|37|11.2|1680.2|7868.26|71.53|25|8|1573.65|40|1400|1773.33|6294.61|0|0|0|0|\N|110|500|0|5000|0|4|1|0
559|Современные жанровые формы письменной деловой речи.|2008-11-21|95|500|500|380|250|880|20000|1400|160|2.8|0|15|1|0.8|2|0.7|70|2|3|20|20|0|20|0|0|5|5|5|5|3|5|0|5|1029.6|1307.59|0|0|0|\N|0|27|277.99|0|8|11.4|798.04|2737.32|44.15|30|3|631.69|40|0|0|2105.63|0|0|0|0|\N|110|500|0|5000|0|4|1|0
560|Методическое пособие.|2008-12-08|45|250|500|720|250|880|20000|1400|160|32|80|61|8|0.8|2|0.7|100|3|3|20|20|0|20|5|0|5|5|5|5|3|5|10|5|4697|5965.19|1400|0|0|\N|0|27|1268.19|0|5|33.65|3365.17|15860.5|166.95|30|25|3660.11|40|1400|1470|12200.4|0|0|0|0|\N|110|500|0|5000|0|4|1|0
561|Система интегративных взаимодействий  по гармонизации жизнедеятельности  семьи в дошкольных образовательных учреждениях  Здоровая семья.|2008-12-10|45|250|500|680|250|880|20000|1400|160|32|80|59|8|0.8|2|0.7|100|3|0|20|15|0|20|0|0|10|5|10|10|3|10|10|10|4844.49|6152.5|1350|0|0|\N|0|27|1308.01|0|1|31.95|3195.06|15076.3|152.29|25|25|3015.27|40|1350|1363.5|12061.1|0|0|0|0|\N|110|500|0|5000|0|4|1|0
562|Актуальные направления работы психологов образовательных учреждений.|2008-12-10|45|250|500|320|250|880|20000|1400|160|4|0|26|1|0.8|2|0.7|100|3|3|20|20|0|25|0|0|10|8|10|10|3|10|0|10|2454.4|3117.09|0|0|0|\N|0|27|662.69|0|9|14.58|1457.68|6404.67|70.38|40|12|1829.91|40|0|0|4574.76|0|0|0|0|\N|110|500|0|5000|0|4|1|0
